iter	RMSE
0	7.570466507
1	7.240768951
2	6.909907533
3	6.659362684
4	6.357086674
5	6.139132832
6	5.925500668
7	5.739542003
8	5.530524107
9	5.347957061
10	5.164711422
11	5.018571171
12	4.866703195
13	4.737971006
14	4.611296157
15	4.474100292
16	4.365149751
17	4.256186667
18	4.152234878
19	4.068707465
20	3.96429344
21	3.872766026
22	3.780562436
23	3.708722667
24	3.640411757
25	3.571261403
26	3.49910829
27	3.439553352
28	3.38481475
29	3.330650254
30	3.275996904
31	3.233863866
32	3.177304024
33	3.129593308
34	3.083801029
35	3.052938318
36	3.016837503
37	2.968221001
38	2.934679012
39	2.886125584
40	2.84936491
41	2.820176344
42	2.782540824
43	2.747071427
44	2.714594253
45	2.675923388
46	2.65397481
47	2.627785286
48	2.599280194
49	2.570428454
50	2.542628437
51	2.522638122
52	2.499473843
53	2.467388572
54	2.446097494
55	2.423898366
56	2.405695542
57	2.375844908
58	2.342715322
59	2.32274767
60	2.302216322
61	2.289402539
62	2.275469659
63	2.259893626
64	2.241027184
65	2.222587492
66	2.201237511
67	2.191683296
68	2.17484904
69	2.167753156
70	2.150023759
71	2.144193228
72	2.125791345
73	2.109924294
74	2.093321203
75	2.074201672
76	2.06067907
77	2.05580955
78	2.048468173
79	2.027289692
80	2.01639598
81	2.009004754
82	1.995271591
83	1.980818922
84	1.965400497
85	1.947292472
86	1.932206382
87	1.911194049
88	1.898846564
89	1.885156126
90	1.870914993
91	1.858798418
92	1.846303128
93	1.829505308
94	1.807967351
95	1.793354875
96	1.779298676
97	1.771141083
98	1.764527842
99	1.751406208
100	1.736373378
101	1.719129545
102	1.702546182
103	1.68374486
104	1.671373338
105	1.663677435
106	1.654817392
107	1.646875186
108	1.641701469
109	1.628706781
110	1.626243344
111	1.617342217
112	1.603559108
113	1.586476664
114	1.570747
115	1.560635712
116	1.543331397
117	1.526070831
118	1.515353826
119	1.514390401
120	1.504544731
121	1.492978266
122	1.476155305
123	1.468550487
124	1.465787186
125	1.464898213
126	1.464057783
127	1.463262802
128	1.450317658
129	1.435735326
130	1.426553635
131	1.417828916
132	1.408603363
133	1.406475737
134	1.396085913
135	1.384166143
136	1.379015327
137	1.376077608
138	1.364899468
139	1.355702989
140	1.347981371
141	1.347180276
142	1.345164273
143	1.335683271
144	1.327880296
145	1.324869841
146	1.314139762
147	1.305229209
148	1.29508911
149	1.293732203
150	1.284572328
151	1.272881451
152	1.265472825
153	1.264169928
154	1.261237926
155	1.255056272
156	1.253276073
157	1.242206203
158	1.235276739
159	1.229455363
160	1.22087301
161	1.218796244
162	1.216564562
163	1.216083642
164	1.209142922
165	1.207879215
166	1.206645799
167	1.195621791
168	1.190509352
169	1.187803869
170	1.18490315
171	1.175426393
172	1.174378579
173	1.163146177
174	1.151732395
175	1.144317081
176	1.135084093
177	1.133578928
178	1.12187506
179	1.115653905
180	1.114704024
181	1.10779739
182	1.098184315
183	1.090483244
184	1.085848924
185	1.076489374
186	1.071552673
187	1.065820868
188	1.065109512
189	1.06064156
190	1.054809274
191	1.051432599
192	1.047674903
193	1.037766184
194	1.033427443
195	1.026399462
196	1.021797806
197	1.012193234
198	1.008794176
199	1.001290393
200	0.9938900458
201	0.9877577138
202	0.9865462238
203	0.9789402395
204	0.9717232057
205	0.9671740109
206	0.9570159348
207	0.9534192522
208	0.9484630194
209	0.9478059856
210	0.9394315472
211	0.938679162
212	0.932392591
213	0.9309263226
214	0.9226050047
215	0.9134535255
216	0.9048176409
217	0.895419216
218	0.8908868646
219	0.8870697852
220	0.8812379276
221	0.8754632703
222	0.8719983993
223	0.8628057931
224	0.8586053388
225	0.8581274
226	0.8504703655
227	0.8448541738
228	0.842027141
229	0.8370698729
230	0.8342941067
231	0.8305369417
232	0.8252344837
233	0.824797817
234	0.822338278
235	0.819935479
236	0.8176855146
237	0.814731514
238	0.811510814
239	0.8072223418
240	0.8023512029
241	0.7971332133
242	0.7930867074
243	0.7838064064
244	0.7792721301
245	0.7766317774
246	0.7697675066
247	0.7628450425
248	0.7568563937
249	0.749420996
250	0.7449021102
251	0.7386440711
252	0.7355291141
253	0.7304644927
254	0.7257393306
255	0.7211900378
256	0.7180645122
257	0.7118753751
258	0.7059133394
259	0.7005790238
260	0.6968329313
261	0.6932022241
262	0.6887587274
263	0.6846701168
264	0.6802840459
265	0.6770811946
266	0.675477104
267	0.6731046787
268	0.6689172248
269	0.6661635793
270	0.6614512142
271	0.6585797429
272	0.6573559635
273	0.6551222015
274	0.650061899
275	0.6468912878
276	0.6420950682
277	0.6403278261
278	0.6355622844
279	0.6318660543
280	0.6274870912
281	0.6240656838
282	0.6192312623
283	0.6141624112
284	0.6117829918
285	0.6076450739
286	0.6056077533
287	0.6017999957
288	0.6015054021
289	0.5987231166
290	0.5965684145
291	0.5919163851
292	0.5915041865
293	0.591085915
294	0.5869926357
295	0.5863695482
296	0.5838239944
297	0.5797692259
298	0.5774008973
299	0.5769335637
300	0.5752463272
301	0.5707754123
302	0.5669046336
303	0.5654780066
304	0.5595116843
305	0.5573024067
306	0.5521945206
307	0.5467786905
308	0.5464254567
309	0.5429993798
310	0.5386082161
311	0.5366902127
312	0.5327430111
313	0.5292522818
314	0.5277983694
315	0.5241073014
316	0.519475193
317	0.5181526788
318	0.5145910448
319	0.5104218018
320	0.5090310446
321	0.5077583644
322	0.5047240841
323	0.4982923785
324	0.4962020671
325	0.4919271117
326	0.4913143799
327	0.4874517169
328	0.4842767939
329	0.481988952
330	0.4793071041
331	0.4733906742
332	0.4729049422
333	0.4708936388
334	0.4689843065
